"Handle","Title","Description","Seo title","Seo description","Vendor","Type","Tags","Active","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Inventory Policy","Variant Barcode","Variant Weight Unit","Cost per item","Length","Width","Height","Dimension Unit"
lipogummies-vsl4-facebook,LipoGummies - VSL4 - Facebook,LipoGummies - VSL4 - Facebook,LipoGummies - VSL4 - Facebook,LipoGummies - VSL4 - Facebook,,,,TRUE,Bottle,1 Bottle - $89 - D4FF,,,,,A1B1C5D4E2F2G1H89,,20000,89,,TRUE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-vsl4-facebook,,,,,,,,,Bottle,3 Bottles - $177 - D4FF,,,,,A1B1C5D4E2F2G3H177,,20000,177,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-vsl4-facebook,,,,,,,,,Bottle,6 Bottles - $294 - D4FF,,,,,A1B1C5D4E2F2G6H294,,20000,294,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-vsl4-facebook,,,,,,,,,Bottle,1 Bottle - $69 - D4FB,,,,,A1B1C5D4E2F3G1H69,,20000,69,,TRUE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-vsl4-facebook,,,,,,,,,Bottle,3 Bottles - $147 - D4FB,,,,,A1B1C5D4E2F3G3H147,,20000,147,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-vsl4-facebook,,,,,,,,,Bottle,6 Bottles - $234 - D4FB,,,,,A1B1C5D4E2F3G6H234,,20000,234,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,LipoGummies - Callcenter,LipoGummies - Callcenter,LipoGummies - Callcenter,LipoGummies - Callcenter,,,,TRUE,Bottle,1 Bottle - $5 - D0CC,,,,,A1B1C5D0E1F1G1H5,,20000,5,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,,,,,,,,,Bottle,1 Bottle - $89 - D0CC,,,,,A1B1C5D0E1F1G1H89,,20000,89,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,,,,,,,,,Bottle,3 Bottles - $177 - D0CC,,,,,A1B1C5D0E1F1G3H177,,20000,177,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,,,,,,,,,Bottle,6 Bottles - $294 - D0CC,,,,,A1B1C5D0E1F1G6H294,,20000,294,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,,,,,,,,,Bottle,1 Bottle - $69 - D0CC,,,,,A1B1C5D0E1F1G1H69,,20000,69,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
lipogummies-callcenter,,,,,,,,,Bottle,3 Bottles - $147 - D0CC,,,,,A1B1C5D0E1F1G3H147,,20000,147,,FALSE,TRUE,FALSE,,kg,,2,2,4,in
